properties.id;properties.name;properties.proposer;properties.status.id;properties.status.name;properties.district;properties.year;properties.budget;properties.detail;properties.category.name;properties.image;latitude;longitude;category_category;category.status;ObjectId;x;y
2409;Mezigenerační programy;Alena  Pohanělová;5;proveditelný;Brno;2024;3000000;https://paro.damenavas.cz/projekt/?id=2409;Senioři;https://paro.damenavas.cz/wp-content/uploads/2024/05/align-fingers-71282-1280-300x188.jpg;49,19498;16,608303;got approval;Senioři, got approval;1024;1848827,833;6308010,412
2410;Úprava schodiště ze záchytného parkoviště;Pavel  Špacír;5;proveditelný;Brno - Bystrc;2024;615000;https://paro.damenavas.cz/projekt/?id=2410;Doprava;https://paro.damenavas.cz/wp-content/uploads/2024/05/inbound7019378458435582621-192x300.jpg;49,22081586;16,52210811;got approval;Doprava, got approval;1025;1839232,662;6312412,622
2412;Hra Lovci soch;Kateřina Havelková;5;proveditelný;Brno;2024;440000;https://paro.damenavas.cz/projekt/?id=2412;Zábava;https://paro.damenavas.cz/wp-content/uploads/2024/05/lovci-soch-300x225.jpg;49,19498;16,608303;got approval;Zábava, got approval;1026;1848827,833;6308010,412
2416;Více herních prvků v parku na Kolišti;Barbora Chmelařová;5;proveditelný;Brno - Střed;2024;4900000;https://paro.damenavas.cz/projekt/?id=2416;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/06/koliste--300x249.jpg;49,19818361;16,61269665;got approval;Děti, got approval;1027;1849316,931;6308556,154
2418;Výuková zahrada v Líšni;Andrea Ondrůjová;5;proveditelný;Brno - Líšeň;2024;5000000;https://paro.damenavas.cz/projekt/?id=2418;Vzdělání;https://paro.damenavas.cz/wp-content/uploads/2024/05/IMG_11411-300x225.jpg;49,20629903;16,69430831;got approval;Vzdělání, got approval;1028;1858401,901;6309938,795
2422;Čisté chodníky;Lucie  Vodičková;5;proveditelný;Brno - Střed;2024;4950000;https://paro.damenavas.cz/projekt/?id=2422;Jiné;https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/jine.svg;49,19519028;16,60815668;got approval;Jiné, got approval;1029;1848811,545;6308046,233
2423;Nový park pro Brno v Králově Poli;Tereza Chladilová;5;proveditelný;Brno - Královo Pole;2024;4900000;https://paro.damenavas.cz/projekt/?id=2423;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/05/IMG_20230416_175900-scaled-1-300x225.jpg;49,2337133;16,58954458;got approval;Zeleň, got approval;1030;1846739,655;6314611,097
2424;Kavárna/bistro/bar Vinohrady – Bořetická;Zuzana  Vöröšová;5;proveditelný;Brno - Vinohrady;2024;5000000;https://paro.damenavas.cz/projekt/?id=2424;Jiné;https://paro.damenavas.cz/wp-content/uploads/2024/05/0ac7ae8b14be647fb2842976b3deb15f-200x300.jpg;49,20263007;16,66295064;got approval;Jiné, got approval;1031;1854911,18;6309313,679
2425;Lezecké vyžití pro děti na Svornosti;Daniela Korandová;5;proveditelný;Brno - Žabovřesky;2024;4800000;https://paro.damenavas.cz/projekt/?id=2425;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/05/438267666_459604883140269_2101734073609900154_n-300x225.jpg;49,21484478;16,58096511;got approval;Děti, got approval;1032;1845784,593;6311394,996
2427;Oprava zbytku cesty okolo Kraví hory;Petr Novak;5;proveditelný;Brno - Střed;2024;4140000;https://paro.damenavas.cz/projekt/?id=2427;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/05/Screenshot-2024-05-14-152341-300x179.png;49,20155444;16,59228036;got approval;Zeleň, got approval;1033;1847044,201;6309130,422
2432;Dobrodružné vodní hřiště pod Merhautovou;Ondřej Špulák;5;proveditelný;Brno - Sever;2024;4999000;https://paro.damenavas.cz/projekt/?id=2432;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/05/17127c2f-da85-49db-95d9-1bbe3efad256-300x171.jpg;49,21351727;16,6298272;got approval;Děti, got approval;1034;1851223,896;6311168,772
